eps,method,recall_mean,recall_std,precision_mean,precision_std,f1_mean,f1_std,soft_error_mean,soft_error_std,n_found_mean,n_found_std,nfe_mean,nfe_std
1.0,v3f2,0.5393650793650794,0.23952146403463015,0.5296164021164022,0.24579418657278643,0.5336821030520217,0.24235508758447002,1.224610456148962,0.6033000812452289,4.7,1.9340241565715381,18664.11111111111,1303.0525047795413
1.0,b0,0.4540740740740741,0.2473437176858292,0.0037057420817409622,0.0043890249592010685,0.007293569509749941,0.008568737081900873,1.1327036886168254,0.17996585501278575,1916.0222222222221,98.4836697553933,2000000.0,0.0
1.0,b10,0.6985978835978836,0.2278792506925134,0.07570136760352607,0.11650985677331525,0.11955091526179092,0.1531396073027133,0.857627728876922,0.1851073705266234,1495.9,348.37223570017983,2020000.0,0.0
1.5,v3f2,0.745,0.1901116931142007,0.7358465608465609,0.20420373582621587,0.7392571155474031,0.19619051421148695,1.224610456148962,0.6033000812452289,4.7,1.9340241565715381,18664.11111111111,1303.0525047795413
1.5,b0,0.8465873015873016,0.165699652035559,0.056225682778363525,0.0549314317657614,0.10053162417338563,0.08949542708503919,1.1327036886168254,0.17996585501278575,1916.0222222222221,98.4836697553933,2000000.0,0.0
1.5,b10,0.9461904761904762,0.09531083364612206,0.23347956732725852,0.1834870716222558,0.3451577524272139,0.20054706956673327,0.857627728876922,0.1851073705266234,1495.9,348.37223570017983,2020000.0,0.0
2.0,v3f2,0.8863492063492063,0.12846427574199168,0.8778174603174603,0.14582015587814898,0.8810309198349104,0.13592088217164586,1.224610456148962,0.6033000812452289,4.7,1.9340241565715381,18664.11111111111,1303.0525047795413
2.0,b0,0.9653174603174604,0.07506021091127367,0.22222294734307443,0.1520348761524229,0.339046148020397,0.18541799035039244,1.1327036886168254,0.17996585501278575,1916.0222222222221,98.4836697553933,2000000.0,0.0
2.0,b10,0.9911640211640212,0.03702042567007236,0.4725791216015865,0.19845042592050746,0.6157500550714646,0.1824608170777505,0.857627728876922,0.1851073705266234,1495.9,348.37223570017983,2020000.0,0.0
2.5,v3f2,0.9363492063492064,0.10085231318557293,0.9287301587301587,0.12390648855563889,0.9315933084618152,0.11152273950829368,1.224610456148962,0.6033000812452289,4.7,1.9340241565715381,18664.11111111111,1303.0525047795413
2.5,b0,0.9961904761904762,0.025769514437426793,0.44513134911822894,0.19107543746080688,0.5918677081964308,0.18117626183268884,1.1327036886168254,0.17996585501278575,1916.0222222222221,98.4836697553933,2000000.0,0.0
2.5,b10,0.9984126984126984,0.015058465048420858,0.7058558842521798,0.1680975283371636,0.8147983117863736,0.12417858396605777,0.857627728876922,0.1851073705266234,1495.9,348.37223570017983,2020000.0,0.0
3.0,v3f2,0.9477777777777777,0.08999038848465066,0.9398544973544973,0.11722769254518345,0.9428567540109749,0.10281345736275836,1.224610456148962,0.6033000812452289,4.7,1.9340241565715381,18664.11111111111,1303.0525047795413
3.0,b0,1.0,0.0,0.6542405726785648,0.16608154727745936,0.7786998886914643,0.12424879532700231,1.1327036886168254,0.17996585501278575,1916.0222222222221,98.4836697553933,2000000.0,0.0
3.0,b10,1.0,0.0,0.8660538796046275,0.1063184693608791,0.9244961685410371,0.06633337198213493,0.857627728876922,0.1851073705266234,1495.9,348.37223570017983,2020000.0,0.0
