checkpoint,checkpoint_path,seed,n_real,n_generated,ddim_steps,sliced_wasserstein_mean,sliced_wasserstein_q95,marginal_wasserstein_mean,mean_vector_l2_error,covariance_relative_frobenius_error,linear_classifier_auc,generation_elapsed_sec
all,checkpoints/levine13_all_100k.pt,0,5000,5000,50,0.03562552676544941,0.05307371053338986,0.03470313921570778,0.07637813687324524,0.07799495149215997,0.5093351111111112,0.36515449997386895
all,checkpoints/levine13_all_100k.pt,1,5000,5000,50,0.03394836576154837,0.06036511223170434,0.036486558616161346,0.1039021834731102,0.08614801359358937,0.5117942222222223,0.12924979199306108
all,checkpoints/levine13_all_100k.pt,2,5000,5000,50,0.03112801658422474,0.0473470141626339,0.03270377591252327,0.05813569575548172,0.10843190405556628,0.5136577777777778,0.11859816699870862
all,checkpoints/levine13_all_100k.pt,3,5000,5000,50,0.037204986448569566,0.055704776175766454,0.037782423198223114,0.0832894816994667,0.19253859683829744,0.5101271111111111,0.17102279100799933
all,checkpoints/levine13_all_100k.pt,4,5000,5000,50,0.03156749202795716,0.04686592786622212,0.03261617571115494,0.05704245716333389,0.07657488234214789,0.5015968888888889,0.16504325001733378
labeled,checkpoints/levine13_labeled_100k.pt,0,5000,5000,50,0.037168371571352034,0.05914010639576426,0.0376308299601078,0.09816661477088928,0.07132885303593217,0.5150026666666667,0.12311816701549105
labeled,checkpoints/levine13_labeled_100k.pt,1,5000,5000,50,0.033017822627461786,0.057862956196503036,0.035112813115119934,0.09919768571853638,0.13904567516092697,0.5339857777777778,0.13176504100556485
labeled,checkpoints/levine13_labeled_100k.pt,2,5000,5000,50,0.029558120053946712,0.044468469331679125,0.03220769017934799,0.07314759492874146,0.16243502120609987,0.50386,0.12276533397380263
labeled,checkpoints/levine13_labeled_100k.pt,3,5000,5000,50,0.033858143310468415,0.05686088680963831,0.03633188083767891,0.0810849592089653,0.39623421493799404,0.51166,0.1251227079774253
labeled,checkpoints/levine13_labeled_100k.pt,4,5000,5000,50,0.029724267303714955,0.045033818350764886,0.03428222984075546,0.07448022812604904,0.05917389472673298,0.5029324444444445,0.13690225000027567
