label,n_eval,mean_purity@50,median_purity@50
9.0,1925,0.981683116883117,1.0
11.0,3447,0.9759733101247461,1.0
2.0,1673,0.9672803347280334,1.0
18.0,2315,0.9648898488120952,1.0
17.0,1695,0.9582182890855457,1.0
12.0,1902,0.9530914826498423,1.0
5.0,2991,0.9448545636910732,0.98
19.0,1001,0.9249950049950051,1.0
24.0,231,0.8487445887445888,0.94
23.0,59,0.8261016949152542,0.92
13.0,853,0.8178663540445488,0.88
1.0,222,0.7427027027027027,0.8
21.0,70,0.7002857142857142,0.68
10.0,136,0.6722058823529412,0.74
20.0,109,0.6543119266055046,0.68
16.0,720,0.6329722222222223,0.64
4.0,64,0.6059375,0.63
3.0,312,0.5428205128205129,0.58
14.0,40,0.479,0.51
7.0,62,0.4687096774193548,0.43
8.0,127,0.34566929133858265,0.32
6.0,12,0.325,0.38
15.0,32,0.22,0.21000000000000002
22.0,2,0.0,0.0
